Area affected by floods,Area affected by drought,Hailstorm-affected area,Flood damaged area,Drought damaged area,Hail damaged area,SPI3_1,SPI3_2,SPI3_3,SPI3_4,Maize sown area,Year-end mechanical power,Effective irrigated area,fertilizer application,Agricultural plastic film usage,NDVI_mean6,NDVI_mean7,NDVI_mean8,NDVI_mean9,玉米单位面积产量(公斤/公顷)
0.127632274,0.103584615,0.186721253,0.30826254,0.056303862,0.06873256,0.690140845,0.536155203,0.082452431,0.608333333,0.471252071,0.922452436,0.765295875,0.60795436,0.916618923,0.332468655,0.539580659,0.690708252,0.710749646,0.728184844
0.338251944,0.0318,0.094606622,0.286131703,0,0.014980173,0.661971831,0.465608466,0.43551797,0.552083333,0.496642751,0.949042072,0.696302741,0.602069507,0.918818935,0.405750108,0.637355584,0.688975525,0.693305045,0.666850239
0.023284776,0.105923077,0.046635813,0.181429576,0.073635493,0.055221031,0.340375587,0.444444444,0.467230444,0.195833333,0.519169597,0.979089623,0.732556214,0.594582666,0.874429127,0.284479032,0.499358151,0.658219623,0.696605375,0.652939642
0.0886482,0.135876923,0.18004628,0.358097506,0.129173316,0.208400646,0.462441315,0.455026455,0.67230444,0.154166667,0.534852636,1,0.745655433,0.587095825,0.862666269,0.262213575,0.539580659,0.700888023,0.706742103,0.671142256
0.038267039,0.032553846,0.180847277,0.122504193,0.027226301,0.113232486,0.833333333,0.522045855,0.754756871,0.385416667,0.55057651,0.704534764,0.786900781,0.575587668,0.850834662,0.377215737,0.6521181,0.699805068,0.681046676,0.690379414
0.023813118,0.081692308,0.19740121,0.167415183,0.084711139,0.004846527,0.882629108,0.66313933,0.291754757,0.4375,0.542517208,0.733324968,0.793169453,0.548615425,0.815271089,0.358841332,0.568891742,0.735325969,0.706034889,0.738574872
0.012680202,0.003523077,0.087130651,0.309831719,0.003415257,0.080481715,0.495305164,0.645502646,0.591966173,0.495833333,0.533609917,0.755860008,0.802589234,0.516559323,0.781999195,0.29355815,0.60419341,0.674030756,0.688590288,0.732091138
0.262768225,0.043538462,0.09496262,0.369622856,0.036067667,0.054927302,0.488262911,0.488536155,0.033826638,0.372916667,0.521603312,0.777850724,0.810006814,0.475675941,0.749843675,0.292261133,0.492511767,0.630495993,0.683639793,0.72504554
0.040908748,0.079461538,0.690815237,0.013581516,0.100223428,0.604200323,0.960093897,0.361552028,0.746300211,0.483333333,0.356102461,0.566419241,0.639849049,0.30328244,0.21776509,0.473411154,0.651904151,0.735759151,0.689061763,0.235864769
0.022756434,0.127076923,0.149074404,0.02315892,0.082125758,0.156410633,0.284037559,0.447971781,0.583509514,0.552083333,0.362476673,0.595636594,0.658296556,0.325366986,0.240940505,0.427583225,0.615104835,0.719081655,0.678925035,0.248892436
0.043965582,0.206876923,0.378159487,0.035008928,0.276827322,0.418563666,0.138497653,0.365079365,0.520084567,0.172916667,0.379146539,0.621278855,0.662915247,0.327819008,0.239850321,0.38002594,0.672229354,0.74550574,0.644035832,0.328813151
0.183787456,0.199615385,0.273762905,0.14609599,0.264602617,0.246291673,0.305164319,1,0.300211416,0.335416667,0.393204379,0.649430828,0.664852456,0.339229084,0.247553633,0.456982274,0.630723149,0.698722114,0.653936822,0.389978306
